id;document;name;phoneNumber;birthDate;state;gender;filial
1;84600527372;Silene Macedo;(88) 1799-0774;19810324,;Maranhão;mulher;filial_2
2;87.015.876/4455-58;Luciana Saraiva Neto;(95) 3546-2339;19890706,;Rio de Janeiro;mulher;filial_2
3;17804200075370;Sofia Braga;(56) 1513-0679;19840411,;Pará;homem;filial_2
4;348.670.197-55;Edval Braga;+55 (94) 2764-7739;19671227,;GO;mulher;filial_2
5;62724734270;Lourdes Silva Filho;(01) 79560-3656;19840410,;Rondônia;mulher;filial_2
6;14955747418;Eduarte Macedo;+55 (43) 5012-1177;19850606,;Mato Grosso;mulher;filial_2
7;22210556406;Lillian Moraes;(07) 2211-4315;19881209,;RR;;filial_2
8;003.105.987-29;Luanna Braga Neto;(34) 0452-8382;19770313,;DF;mulher;filial_2
9;412.470.411-90;Adolfo Albuquerque;(48) 06747-0152;19760523,;Santa Catarina;mulher;filial_2
10;34384364776;Mariane;(30) 4153-0672;19720703,;RS;homem;filial_2
11;76832402902;Sr. Dr. Juliana Souza;(62) 3659-4778;19870203,;Rio de Janeiro;homem;filial_2
12;74600662571;Caetano;(35) 15495-4951;19860326,;ES;homem;filial_2
13;24768684343;Renne Reis;(54) 0470-7017;19830306,;AC;mulher;filial_2
14;223.675.256-33;Sra. Marinaldo Saraiva;+55 (35) 1819-3423;19800111,;AM;mulher;filial_2
15;762.263.034-92;Benilde Santos;+55 (45) 8946-6894;19811018,;MT;homem;filial_2
16;62471891330;Damiana Saraiva;Interações;19801031,;Goiás;homem;filial_2
17;122.550.283-79;Srta. Yukiko Franco;(72) 96080-7642;19770415,;SC;mulher;filial_2
18;542.706.456-79;Silas Martins;+55 (87) 1362-6147;19890628,;Maranhão;homem;filial_2
19;01176042599;Susana;(47) 7129-1836;19640625,;Pará;homem;filial_2
20;54555464907;Consuelo Oliveira Jr.;+55 (45) 5425-3594;19831127,;Maranhão;mulher;filial_2
21;33711544088;Sra. Sergio Moreira;(98) 57681-5314;19831025,;Acre;mulher;filial_2
22;00622528360;Srta. Susana Costa;(42) 1176-9364;19721017,;AP;homem;filial_2
23;38451693628;Sr. Jacira Costa;(17) 27705-6927;19761005,;Amapá;mulher;filial_2
24;706.835.549-80;Sr. Eleni Pereira;(74) 2872-4989;19881004,;PA;mulher;filial_2
25;80087072603102;Teresa Melo Filho;(26) 6760-0188;19671116,;Rio de Janeiro;homem;filial_2
26;18278493804;Srta. Bart Batista;+55 (85) 3596-9068;19690624,;Distrito Federal;mulher;filial_2
27;75.551.412/2250-30;Eurico Moreira;(65) 74700-7898;19850219,;RJ;homem;filial_2
28;16951241708;Jadir Moreira;(38) 2235-7439;19760925,;MA;mulher;filial_2
29;76150568296;Yip Carvalho Neto;Comunicações;19720108,;Roraima;mulher;filial_2
30;66796743792;Dr. Sivirino Silva Neto;(43) 05264-2212;19881012,;AL;homem;filial_2
31;74482579866;Srta. Ildemar Batista Filho;+55 (71) 8626-4117;19651012,;ES;mulher;filial_2
32;662.717.863-08;Dr. Tupinambás Carvalho;(64) 82693-6982;19640714,;MT;;filial_2
33;18215431224;Sr. Sivonaldo Carvalho;+55 (38) 7979-2854;19630725,;BA;;filial_2
34;691.377.713-29;Dr. Gabrielle Melo;+55 (15) 3528-7276;19790924,;RN;;filial_2
35;45.542.747/6843-00;Dr. Estela Braga;(10) 01410-1772;19721008,;BA;mulher;filial_2
36;582.284.486-35;Yuriê;(73) 1161-8361;19810908,;Paraíba;homem;filial_2
37;88015662471383;Cecília Carvalho;(45) 6155-1983;19620309,;Espírito Santo;homem;filial_2
38;36681405148098;Dr. Glacir Macedo;(69) 0403-7007;19810407,;Bahia;;filial_2
39;44828255834307;Sr. Aurelino Saraiva;(54) 5259-8591;19780318,;RR;homem;filial_2
40;01030777103645;Gersino Pereira;(28) 88237-5655;19630208,;Rio Grande do Sul;mulher;filial_2
41;352.381.578-94;Alcir Carvalho;(79) 73594-6202;19850907,;Roraima;mulher;filial_2
42;185.158.235-51;Nobuyuki Macedo Neto Jr.;(16) 64615-4735;19631012,;Amazonas;homem;filial_2
43;57298763601;Andréa Carvalho;(09) 8007-7895;19750311,;DF;homem;filial_2
44;61665283522718;Dr. Vitor Franco Filho;(63) 39186-6786;19891012,;PI;homem;filial_2
45;98317704203;Claudionor;(38) 6469-3721;19891001,;AM;mulher;filial_2
46;388.219.692-07;Jone;(29) 5747-2511;19780809,;RO;;filial_2
47;16573872754;Leonardo Filho;(38) 36831-6769;19700516,;Rondônia;;filial_2
48;558.514.456-10;Sr. Sra. Margaret Braga;(83) 4485-2345;19750611,;GO;;filial_2
49;42687338419;Cássio Macedo;Qualidade;19760120,;Mato Grosso do Sul;homem;filial_2
50;45929534101;Josiel Nogueira Neto;(07) 6515-3744;19741215,;Rio Grande do Norte;homem;filial_2
51;744.622.803-26;Andreia Pereira;(14) 81294-4090;19790408,;Ceará;homem;filial_2
52;61723514438;Maurício Silva;(44) 12804-8076;19720209,;RR;homem;filial_2
53;612.793.335-88;Sra. Odisseus Barros Neto;+55 (66) 1848-6375;19701113,;MS;homem;filial_2
54;002.242.747-32;Veimar Jr.;+55 (75) 8782-3621;19770623,;Distrito Federal;homem;filial_2
55;05806902960;Alzira Melo;(90) 51885-4775;19770905,;AC;mulher;filial_2
56;81484712315;Wanturi Xavier;(61) 6038-0223;19720111,;Alagoas;mulher;filial_2
57;01875869778;Srta. Delsa Oliveira;+55 (88) 2986-2693;19720927,;AC;homem;filial_2
58;146.968.405-57;Avani Moraes;(35) 5902-5508;19640217,;Piauí;mulher;filial_2
59;23176378459;Railey Moraes;+55 (21) 2930-1476;19720415,;Paraná;homem;filial_2
60;13064421501330;Matilde Barros;(07) 0695-5318;19771005,;PE;homem;filial_2
61;05181557518539;Jaime Saraiva;+55 (25) 8351-6825;19681121,;Rio de Janeiro;mulher;filial_2
62;64789201198;Sr. Gregorio Braga Neto;(72) 0494-4971;19860120,;Minas Gerais;mulher;filial_2
63;12701236236332;Sra. Magali Moraes Jr.;(61) 5944-8239;19831212,;PB;homem;filial_2
64;65366500516320;Dr. Dijosilene Filho;(88) 4810-3708;19761122,;Sergipe;mulher;filial_2
65;22870737360;Jess Barros;+55 (90) 9940-8470;19670725,;ES;homem;filial_2
66;465.358.392-73;Uldis Santos Jr.;+55 (98) 8036-9345;19660813,;Rio Grande do Norte;;filial_2
67;32204014854244;Solange Xavier;+55 (97) 5124-4940;19720215,;RO;mulher;filial_2
